RamenId,BrandId,RamenName,RamenStyleId,CountryId,RamenPrice
1,1,T's Restaurant Tantanmen,1,1,31000
2,2,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,2,2,8000
3,3,Cup Noodles Chicken Vegetable,1,3,45000
4,4,GGE Ramen Snack Tomato Flavor,2,2,17000
5,5,Singapore Curry,2,4,14000
6,6,Kimchi song Song Ramen,2,5,35000
7,7,Spice Deli Tantan Men With Cilantro,1,1,40000
8,8,Nabeyaki Kitsune Udon,3,1,21000
9,9,Hokkaido Soy Sauce Ramen,2,1,38000
10,10,The Original Spicy Stir-Fried Noodles,2,6,33000
11,11,Creamy tom Yum Kung Flavour,2,7,35000
12,12,Yokohama Tonkotsu Shoyu,2,3,43000
13,13,Mr. Bibim Stir-Fried Kimchi Flavor,2,5,38000
14,3,Deka Buto Kimchi Pork Flavor,4,1,39000
15,3,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,2,8,16000
16,10,Mushroom Flavour Instant Noodles,1,6,12000
17,14,Mario Masala Noodles,2,4,29000
18,12,Tokyo Shoyu Ramen,2,3,49000
19,15,Mi Hai Cua,2,9,9000
20,16,Premium Gomtang,2,5,25000
21,3,Cup Noodles Laksa Flavour,1,8,43000
22,17,Beef Ramen,2,3,34000
23,10,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,1,6,35000
24,12,Sapporo Miso Ramen,2,3,6000
25,5,Hot Garlic Instant Noodles,2,4,26000
26,6,Song Song Kimchi Big Bowl,4,5,40000
27,18,Instant Noodles Beef In Light Soup Flavour,2,10,27000
28,3,Hakata Ramen Noodle White Tonkotsu,4,1,43000
29,19,Penang White Curry Rice Vermicelli Soup,4,11,47000
30,10,Signature Tom Yum Flavor Instant Noodles,2,6,47000
31,6,Paegaejang Ramen,2,5,42000
32,3,Gekikara Ramen Extra Hot Ramen Goreng,2,12,50000
33,20,Plain Instant Noodle No Soup Included,2,5,17000
34,21,Chongqing Spicy Hot Noodles,4,13,7000
35,1,Sugo-Men Kyoto Backfat Shoyu Ramen,4,1,14000
36,10,Instant Noodles Laksa Singapura Flavour,2,6,30000
37,22,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,5,3,14000
38,10,Curry Flavour Instant Noodles,1,6,27000
39,7,Super Cup Yochan Ika Yakisoba,3,1,15000
40,3,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,1,3,10000
41,4,GGE Noodle Snack Wheat Crackers Mexican Spicy,2,2,26000
42,3,Demae Iccho Tonkotsu Flavour Instant Noodle,1,8,36000
43,3,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,1,3,46000
44,3,Cup NoodlesTom Yam Seafood (More Shrimptacular),1,6,34000
45,23,Instant Noodles Beef,2,10,44000
46,3,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,1,3,36000
47,24,Hokkaido Hakodate Shoyu Ramen,2,1,13000
48,13,Shin Ramyun Black,2,5,18000
49,3,Nippon Onomichi Ramen,4,1,48000
50,25,Pickled Cabbage Beef,2,13,16000
51,20,Ppushu Ppushu Noodle Snack Honey Butter ,2,5,11000
