TransactionId,RamenId,Quantity
1,803,8
2,763,5
3,619,1
4,230,1
5,138,2
6,623,4
7,563,6
8,212,5
9,921,8
10,149,10
11,1127,4
12,590,5
13,508,2
14,48,5
15,254,2
16,335,6
17,695,9
18,522,10
19,143,8
20,37,7
21,185,1
22,60,3
23,686,5
24,793,9
25,434,10
26,973,9
27,689,2
28,946,5
29,812,9
30,686,5
31,649,9
32,25,2
33,676,8
34,511,5
35,1172,4
36,134,7
37,950,5
38,811,3
39,481,10
40,240,6
41,880,6
42,627,8
43,743,3
44,275,10
45,691,7
46,162,4
47,502,1
48,1114,5
49,136,1
50,69,9
51,519,7
52,279,7
53,1163,3
54,972,1
55,942,6
56,368,7
57,747,3
58,447,6
59,452,4
60,826,1
61,352,9
62,1015,4
63,117,2
64,198,9
65,29,3
66,745,7
67,747,7
68,772,5
69,1142,9
70,1173,8
71,846,1
72,408,3
73,913,7
74,508,8
75,624,10
76,806,1
77,888,5
78,699,4
79,573,10
80,1184,3
81,432,1
82,256,10
83,903,5
84,899,4
85,102,2
86,27,8
87,543,10
88,50,3
89,405,8
90,966,3
91,370,10
92,56,6
93,662,9
94,999,1
95,55,1
96,770,10
97,789,1
98,1169,10
99,770,6
100,80,5
101,806,1
102,1171,3
103,232,7
104,315,9
105,1108,10
106,654,1
107,308,9
108,301,10
109,736,5
110,660,6
111,910,1
112,9,10
113,1035,6
114,872,8
115,973,5
116,152,1
117,502,2
118,1110,1
119,174,1
120,456,5
121,294,1
122,1088,3
123,468,3
124,265,7
125,319,8
126,1146,9
127,32,6
128,461,6
129,155,2
130,908,3
131,966,6
132,930,8
133,1145,8
134,272,5
135,820,2
136,807,1
137,419,6
138,1126,8
139,971,9
140,816,6
141,1034,4
142,880,5
143,29,10
144,270,9
145,817,5
146,311,8
147,255,8
148,831,9
149,572,10
150,243,2
151,231,10
152,1044,7
153,908,2
154,476,8
155,936,1
156,765,7
157,594,6
158,37,5
159,300,3
160,639,2
161,928,5
162,773,1
163,653,10
164,919,10
165,305,6
166,1074,3
167,414,5
168,469,7
169,335,2
170,583,4
171,735,1
172,903,4
173,290,2
174,1180,8
175,920,9
176,494,2
177,688,10
178,50,9
179,584,4
180,171,8
181,104,7
182,954,10
183,575,5
184,464,4
185,573,10
186,346,7
187,371,7
188,882,9
189,287,9
190,541,7
191,26,4
192,717,2
193,177,8
194,296,4
195,393,4
196,174,3
197,493,3
198,814,10
199,370,9
200,174,8
201,577,2
202,907,10
203,1015,1
204,178,2
205,1132,2
206,48,7
207,801,7
208,1180,4
209,414,5
210,503,7
211,1179,10
212,1171,4
213,1143,6
214,593,10
215,918,6
216,789,4
217,1055,1
218,185,7
219,301,2
220,92,7
221,692,7
222,871,10
223,1116,3
224,724,1
225,227,7
226,249,7
227,293,2
228,850,3
229,1184,5
230,242,9
231,1103,7
232,387,10
233,714,10
234,1105,5
235,659,3
236,1128,5
237,1067,2
238,940,8
239,192,7
240,1055,7
241,839,3
242,417,6
243,1144,1
244,570,8
245,202,9
246,937,7
247,504,1
248,570,6
249,246,2
250,992,9
251,930,9
252,728,4
253,286,5
254,297,7
255,75,1
256,243,8
257,420,6
258,765,7
259,242,4
260,1191,8
261,508,10
262,264,4
263,225,6
264,403,1
265,1160,9
266,67,10
267,1015,5
268,242,9
269,732,9
270,350,4
271,146,9
272,1010,5
273,71,4
274,451,1
275,582,7
276,6,10
