TransactionId,TransactionDate,CustomerId
1,2019-03-20,2843
2,2019-12-25,282
3,2019-11-16,1514
4,2019-07-31,1026
5,2019-03-12,2419
6,2019-12-03,829
7,2019-07-28,2438
8,2019-09-30,1828
9,2019-12-02,2500
10,2019-02-05,1488
11,2019-03-12,1485
12,2019-09-20,2875
13,2019-01-16,1215
14,2019-05-26,1365
15,2019-11-16,976
16,2019-10-18,1621
17,2019-05-09,405
18,2019-08-29,1120
19,2019-05-20,1708
20,2019-05-07,59
21,2019-05-06,810
22,2019-08-21,744
23,2019-08-20,2585
24,2019-08-24,925
25,2019-05-05,1734
26,2019-06-01,515
27,2019-06-01,960
28,2019-05-26,82
29,2019-04-10,2755
30,2019-07-12,200
31,2019-06-07,815
32,2019-09-22,1366
33,2019-08-27,1528
34,2019-07-08,232
35,2019-05-07,1864
36,2019-10-09,2022
37,2019-08-28,1047
38,2019-07-13,1314
39,2019-04-07,2378
40,2019-03-06,97
41,2019-05-20,1448
42,2019-05-08,498
43,2019-03-31,2882
44,2019-05-27,2041
45,2019-05-27,842
46,2019-03-10,2971
47,2019-08-29,2155
48,2019-05-03,2088
49,2019-06-12,1674
50,2019-02-13,1433
51,2019-11-02,1312
52,2019-05-14,2693
53,2019-10-09,1210
54,2019-05-18,1938
55,2019-08-13,2525
56,2019-09-09,14
57,2019-06-19,2616
58,2019-10-30,2217
59,2019-09-06,2280
60,2019-05-29,2922
61,2019-04-02,473
62,2019-10-10,1778
63,2019-07-14,1156
64,2019-04-04,1833
65,2019-08-21,2228
66,2019-06-30,2862
67,2019-04-09,1301
68,2019-05-05,2982
69,2019-10-21,2426
70,2019-05-07,1108
71,2019-06-24,2223
72,2019-08-22,2781
73,2019-09-11,426
74,2019-12-19,2448
75,2019-03-08,1233
76,2019-07-16,1680
77,2019-03-05,2221
78,2019-02-05,870
79,2019-12-29,2105
80,2019-02-22,2492
81,2019-09-18,2248
82,2019-04-21,756
83,2019-06-21,1815
84,2019-01-27,2069
85,2019-04-23,2494
86,2019-01-19,1270
87,2019-09-30,1695
88,2019-12-09,2203
89,2019-01-27,341
90,2019-10-26,687
91,2019-01-13,2281
92,2019-11-12,120
93,2019-06-26,372
94,2019-05-13,75
95,2019-05-25,125
96,2019-09-24,2680
97,2019-07-21,2851
98,2019-08-18,1501
99,2019-06-06,1322
100,2019-04-12,1940
101,2019-01-26,2515
102,2019-11-01,1169
103,2019-07-30,1670
104,2019-05-24,1852
105,2019-01-16,290
106,2019-01-02,1034
107,2019-04-07,2817
108,2019-10-08,2854
109,2019-07-19,1280
110,2019-04-07,1247
111,2019-10-11,582
112,2019-07-04,1517
113,2019-02-14,723
114,2019-04-10,1904
115,2019-05-25,983
116,2019-12-09,965
117,2019-04-10,549
118,2019-08-03,370
119,2019-03-07,2944
120,2019-10-05,2024
121,2019-08-13,319
122,2019-01-18,2387
123,2019-01-02,768
124,2019-05-07,719
125,2019-04-06,2782
126,2019-06-13,2312
127,2019-05-16,2427
128,2019-07-09,1173
129,2019-05-24,2798
130,2019-07-01,2881
131,2019-03-05,1921
132,2019-12-03,1708
133,2019-09-26,339
134,2019-08-30,1175
135,2019-09-15,207
136,2019-01-08,2726
137,2019-11-12,2434
138,2019-12-05,2492
139,2019-04-26,1466
140,2019-07-21,2020
141,2019-03-23,1725
142,2019-10-02,2850
143,2019-07-15,321
144,2019-04-09,2796
145,2019-09-20,1973
146,2019-07-31,1122
147,2019-11-25,2268
148,2019-07-22,1047
149,2019-01-26,2543
150,2019-03-19,1776
151,2019-04-18,1094
152,2019-12-26,542
153,2019-04-02,162
154,2019-05-29,502
155,2019-05-23,1905
156,2019-08-07,210
157,2019-04-20,2257
158,2019-03-04,946
159,2019-07-08,1710
160,2019-02-10,479
161,2019-01-31,1925
162,2019-05-05,914
163,2019-09-09,263
164,2019-07-24,2584
165,2019-01-29,2869
166,2019-08-04,961
167,2019-03-05,1608
168,2019-11-12,1508
169,2019-06-30,746
170,2019-09-26,1968
171,2019-08-15,2481
172,2019-01-24,1831
173,2019-10-09,1149
174,2019-09-22,1301
175,2019-04-26,2055
176,2019-02-16,1587
177,2019-04-28,1286
178,2019-07-06,2960
179,2019-08-09,2637
180,2019-06-26,2831
181,2019-02-04,1652
182,2019-07-15,156
183,2019-01-15,1806
184,2019-01-23,730
185,2019-06-15,935
186,2019-05-15,947
187,2019-04-12,1280
188,2019-05-13,546
189,2019-08-30,2917
190,2019-07-10,617
191,2019-10-02,1925
192,2019-03-13,25
193,2019-02-15,123
194,2019-07-07,150
195,2019-12-22,1090
196,2019-06-04,1618
197,2019-10-06,1972
198,2019-01-19,1481
199,2019-08-26,2200
200,2019-07-06,1674
201,2019-09-15,875
202,2019-05-01,1109
203,2019-11-07,299
204,2019-02-17,2628
205,2019-06-27,373
206,2019-12-28,612
207,2019-06-28,1867
208,2019-08-13,2486
209,2019-11-15,801
210,2019-12-17,144
211,2019-05-27,2473
212,2019-11-29,1800
213,2019-01-21,2714
214,2019-05-30,1735
215,2019-02-16,556
216,2019-08-27,2388
217,2019-08-11,2816
218,2019-04-10,655
219,2019-08-28,1273
220,2019-08-31,2793
221,2019-07-16,796
222,2019-02-02,1560
223,2019-03-13,348
224,2019-01-06,2045
225,2019-02-11,1851
226,2019-03-23,2158
227,2019-11-27,850
228,2019-10-30,649
229,2019-08-20,257
230,2019-08-27,1894
231,2019-01-08,805
232,2019-03-29,610
233,2019-01-06,2404
234,2019-10-24,626
235,2019-11-03,1353
236,2019-07-30,935
237,2019-04-06,10
238,2019-01-21,2824
239,2019-07-14,1310
240,2019-08-07,2791
241,2019-07-31,718
242,2019-04-05,2155
243,2019-09-09,1540
244,2019-08-16,2836
245,2019-04-04,2488
246,2019-07-08,2302
247,2019-06-09,1929
248,2019-11-07,1656
249,2019-06-19,2992
250,2019-06-11,2635
251,2019-11-28,395
252,2019-02-20,2863
253,2019-06-19,2326
254,2019-10-16,1653
255,2019-08-31,2057
256,2019-04-29,1149
257,2019-03-25,1552
258,2019-05-17,385
259,2019-02-12,2727
260,2019-09-30,2244
261,2019-09-08,517
262,2019-12-08,447
263,2019-08-16,1545
264,2019-05-18,114
265,2019-09-04,2764
266,2019-02-04,2928
267,2019-09-09,1531
268,2019-08-11,2815
